"filename" "functions" "line" "value"
"45" "R/rank-ordering.R" "rank_order_data" 21 0
"49" "R/rank-ordering.R" "rank_order_data" 22 0
"54" "R/rank-ordering.R" "rank_order_data" 23 0
"60" "R/rank-ordering.R" "rank_order_data" 25 0
"64" "R/rank-ordering.R" "rank_order_data" 26 0
"74" "R/rank-ordering.R" "rank_order_data" 29 0
"78" "R/rank-ordering.R" "rank_order_data" 31 0
"83" "R/rank-ordering.R" "rank_order_data" 32 0
"89" "R/rank-ordering.R" "rank_order_data" 33 0
"95" "R/rank-ordering.R" "rank_order_data" 34 0
"101" "R/rank-ordering.R" "rank_order_data" 35 0
"105" "R/rank-ordering.R" "rank_order_data" 36 0
"112" "R/rank-ordering.R" "rank_order_data" 38 0
"116" "R/rank-ordering.R" "rank_order_data" 39 0
"122" "R/rank-ordering.R" "rank_order_data" 40 0
"129" "R/rank-ordering.R" "rank_order_data" 42 0
"131" "R/rank-ordering.R" "rank_order_data" 43 0
"137" "R/rank-ordering.R" "rank_order_data" 44 0
"140" "R/rank-ordering.R" "rank_order_data" 45 0
"146" "R/rank-ordering.R" "rank_order_data" 46 0
"151" "R/rank-ordering.R" "rank_order_data" 47 0
"158" "R/rank-ordering.R" "rank_order_data" 48 0
"170" "R/rank-ordering.R" "rank_order_data" 50 0
"173" "R/rank-ordering.R" "rank_order_data" 51 0
"176" "R/rank-ordering.R" "rank_order_data" 52 0
"180" "R/rank-ordering.R" "rank_order_data" 53 0
"182" "R/rank-ordering.R" "rank_order_data" 54 0
"193" "R/rank-ordering.R" "rank_order_data" 56 0
"199" "R/rank-ordering.R" "rank_order_data" 57 0
"203" "R/rank-ordering.R" "rank_order_data" 58 0
"209" "R/rank-ordering.R" "rank_order_data" 59 0
"216" "R/rank-ordering.R" "rank_order_data" 60 0
"223" "R/rank-ordering.R" "rank_order_data" 61 0
"234" "R/rank-ordering.R" "rank_order_data" 63 0
"239" "R/rank-ordering.R" "rank_order_data" 64 0
"251" "R/rank-ordering.R" "rank_order_data" 67 0
"73" "R/reference.R" "ici_kendalltau_ref" 29 0
"87" "R/reference.R" "ici_kendalltau_ref" 33 0
"93" "R/reference.R" "ici_kendalltau_ref" 34 0
"99" "R/reference.R" "ici_kendalltau_ref" 35 0
"104" "R/reference.R" "ici_kendalltau_ref" 36 0
"115" "R/reference.R" "ici_kendalltau_ref" 39 0
"120" "R/reference.R" "ici_kendalltau_ref" 40 0
"125" "R/reference.R" "ici_kendalltau_ref" 41 0
"157" "R/reference.R" "ici_kendalltau_ref" 48 0
"162" "R/reference.R" "ici_kendalltau_ref" 49 0
"168" "R/reference.R" "ici_kendalltau_ref" 50 0
"186" "R/reference.R" "ici_kendalltau_ref" 55 0
"191" "R/reference.R" "ici_kendalltau_ref" 56 0
"208" "R/reference.R" "ici_kendalltau_ref" 59 0
"214" "R/reference.R" "ici_kendalltau_ref" 60 0
"221" "R/reference.R" "ici_kendalltau_ref" 61 0
"228" "R/reference.R" "ici_kendalltau_ref" 62 0
"232" "R/reference.R" "ici_kendalltau_ref" 63 0
"238" "R/reference.R" "ici_kendalltau_ref" 64 0
"261" "R/reference.R" "ici_kendalltau_ref" 71 0
"266" "R/reference.R" "ici_kendalltau_ref" 72 0
"271" "R/reference.R" "ici_kendalltau_ref" 73 0
"275" "R/reference.R" "ici_kendalltau_ref" 74 0
"280" "R/reference.R" "ici_kendalltau_ref" 75 0
"284" "R/reference.R" "ici_kendalltau_ref" 76 0
"287" "R/reference.R" "ici_kendalltau_ref" 77 0
"295" "R/reference.R" "ici_kendalltau_ref" 79 0
"298" "R/reference.R" "ici_kendalltau_ref" 80 0
"305" "R/reference.R" "ici_kendalltau_ref" 82 0
"314" "R/reference.R" "ici_kendalltau_ref" 85 0
"318" "R/reference.R" "ici_kendalltau_ref" 86 0
"321" "R/reference.R" "ici_kendalltau_ref" 87 0
"328" "R/reference.R" "ici_kendalltau_ref" 90 0
"62" "R/reshaping.R" "cor_matrix_2_long_df" 26 0
"278" "R/utils.R" "check_furrr" 75 0
"283" "R/utils.R" "check_furrr" 76 0
"5" "src/helpers.cpp" NA 6 0
"8" "src/helpers.cpp" NA 7 0
"11" "src/helpers.cpp" NA 8 0
"18" "src/helpers.cpp" NA 11 0
"22" "src/helpers.cpp" NA 12 0
"29" "src/helpers.cpp" NA 16 0
"37" "src/helpers.cpp" NA 18 0
"46" "src/helpers.cpp" NA 21 0
"55" "src/helpers.cpp" NA 23 0
"58" "src/helpers.cpp" NA 24 0
"61" "src/helpers.cpp" NA 25 0
"67" "src/helpers.cpp" NA 27 0
"69" "src/helpers.cpp" NA 28 0
"79" "src/helpers.cpp" NA 31 0
"84" "src/helpers.cpp" NA 32 0
"90" "src/helpers.cpp" NA 33 0
"102" "src/helpers.cpp" NA 35 0
"106" "src/helpers.cpp" NA 36 0
"113" "src/helpers.cpp" NA 38 0
"118" "src/helpers.cpp" NA 39 0
"124" "src/helpers.cpp" NA 40 0
"141" "src/helpers.cpp" NA 45 0
"148" "src/helpers.cpp" NA 46 0
"153" "src/helpers.cpp" NA 47 0
"160" "src/helpers.cpp" NA 48 0
"142" "src/kendallc.cpp" NA 45 0
"640" "src/kendallc.cpp" NA 280 0
"642" "src/kendallc.cpp" NA 281 0
"644" "src/kendallc.cpp" NA 282 0
"646" "src/kendallc.cpp" NA 283 0
"647" "src/kendallc.cpp" NA 284 0
"657" "src/kendallc.cpp" NA 292 0
"659" "src/kendallc.cpp" NA 294 0
"672" "src/kendallc.cpp" NA 304 0
"674" "src/kendallc.cpp" NA 305 0
"705" "src/kendallc.cpp" NA 326 0
"706" "src/kendallc.cpp" NA 327 0
"707" "src/kendallc.cpp" NA 328 0
"709" "src/kendallc.cpp" NA 329 0
"711" "src/kendallc.cpp" NA 330 0
"712" "src/kendallc.cpp" NA 331 0
"713" "src/kendallc.cpp" NA 332 0
"714" "src/kendallc.cpp" NA 333 0
"716" "src/kendallc.cpp" NA 334 0
"718" "src/kendallc.cpp" NA 335 0
"720" "src/kendallc.cpp" NA 336 0
"721" "src/kendallc.cpp" NA 337 0
"722" "src/kendallc.cpp" NA 338 0
"723" "src/kendallc.cpp" NA 339 0
"724" "src/kendallc.cpp" NA 340 0
"725" "src/kendallc.cpp" NA 341 0
"726" "src/kendallc.cpp" NA 342 0
"727" "src/kendallc.cpp" NA 343 0
"728" "src/kendallc.cpp" NA 344 0
"739" "src/kendallc.cpp" NA 354 0
"785" "src/kendallc.cpp" NA 393 0
"787" "src/kendallc.cpp" NA 395 0
"789" "src/kendallc.cpp" NA 396 0
"794" "src/kendallc.cpp" NA 406 0
"805" "src/kendallc.cpp" NA 424 0
"851" "src/kendallc.cpp" NA 465 0
"875" "src/kendallc.cpp" NA 488 0
"879" "src/kendallc.cpp" NA 490 0
"895" "src/kendallc.cpp" NA 502 0
"897" "src/kendallc.cpp" NA 503 0
"900" "src/kendallc.cpp" NA 505 0
"903" "src/kendallc.cpp" NA 508 0
"905" "src/kendallc.cpp" NA 509 0
"906" "src/kendallc.cpp" NA 510 0
"909" "src/kendallc.cpp" NA 512 0
"910" "src/kendallc.cpp" NA 513 0
"912" "src/kendallc.cpp" NA 514 0
"914" "src/kendallc.cpp" NA 515 0
"915" "src/kendallc.cpp" NA 516 0
"917" "src/kendallc.cpp" NA 517 0
"918" "src/kendallc.cpp" NA 518 0
"920" "src/kendallc.cpp" NA 519 0
"921" "src/kendallc.cpp" NA 520 0
"922" "src/kendallc.cpp" NA 521 0
"923" "src/kendallc.cpp" NA 522 0
"924" "src/kendallc.cpp" NA 523 0
